"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"D.L.S.I.";"FR0010404368";"ALDLS";"Euronext Growth Paris";"EUR";"17.15";"17.25";"16.50";"16.55";"22/03/2019 17:25";"CET";"1868";"31278.45"
"D2L GROUP";"FR0012336675";"MLGEL";"Euronext Access Paris";"EUR";"7.95";"7.95";"7.95";"7.95";"01/02/2019 16:30";"CET";"1";"7.95"
"DALATA HOTEL GP.";"IE00BJMZDW83";"DHG";"Euronext Dublin";"EUR";"5.75";"5.75";"5.65";"5.70";"21/03/2019 16:30";"UTC";"192421";"1093107.88"
"DALET";"FR0011026749";"DLT";"Euronext Paris";"EUR";"10.90";"10.90";"10.90";"10.90";"22/03/2019 09:00";"CET";"16";"174.40"
"DAMARIS";"FR0000077885";"MLDAM";"Euronext Access Paris";"EUR";"1.62";"1.62";"1.62";"1.62";"01/11/2018 11:30";"CET";"168";"272.16"
"DAMARTEX";"FR0000185423";"ALDAR";"Euronext Growth Paris";"EUR";"16.30";"16.30";"16.30";"16.30";"22/03/2019 09:00";"CET";"9";"146.70"
"DANONE";"FR0000120644";"BN";"Euronext Paris";"EUR";"69.42";"69.50";"67.52";"67.70";"22/03/2019 17:35";"CET";"2197885";"149493531.05"
"DASSAULT AVIATION";"FR0000121725";"AM";"Euronext Paris";"EUR";"1389.00";"1389.00";"1326.00";"1326.00";"22/03/2019 17:35";"CET";"9338";"12517571.00"
"DASSAULT SYST NV19";"FR0013391943";"DSYNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DASSAULT SYSTEMES";"FR0000130650";"DSY";"Euronext Paris";"EUR";"131.40";"132.25";"129.85";"129.90";"22/03/2019 17:35";"CET";"238628";"31111126.85"
"DATALEX PLC";"IE0000527006";"DLE";"Euronext Dublin";"EUR";"0.858";"0.858";"0.78";"0.78";"21/03/2019 16:30";"UTC";"383028";"310398.67"
"DATBIM";"FR0004177939";"MLDTB";"Euronext Access Paris";"EUR";"1.86";"1.86";"1.86";"1.86";"31/01/2019 16:30";"CET";"10";"18.60"
"DBT";"FR0013066750";"ALDBT";"Euronext Growth Paris";"EUR";"1.064";"1.07";"1.012";"1.03";"22/03/2019 17:35";"CET";"95541";"98593.25"
"DBV TECHNOLOGIES";"FR0010417345";"DBV";"Euronext Paris";"EUR";"13.98";"14.16";"13.43";"13.62";"22/03/2019 17:35";"CET";"274780";"3765902.95"
"DECEUNINCK";"BE0003789063";"DECB";"Euronext Brussels";"EUR";"2.215";"2.22";"2.185";"2.205";"22/03/2019 17:29";"CET";"79745";"176133.285"
"DEINOVE";"FR0010879056";"ALDEI";"Euronext Growth Paris";"EUR";"1.68";"1.73";"1.62";"1.62";"22/03/2019 17:22";"CET";"64151";"107119.188"
"DELFINGEN";"FR0000054132";"ALDEL";"Euronext Growth Paris";"EUR";"19.85";"19.90";"19.60";"19.60";"22/03/2019 15:23";"CET";"177";"3487.60"
"DELTA DRONE";"FR0011522168";"ALDR";"Euronext Growth Paris";"EUR";"0.085";"0.0858";"0.0828";"0.083";"22/03/2019 17:35";"CET";"543231";"45660.1456"
"DELTA DRONE BSA";"FR0013239977";"ALDBS";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DELTA DRONE BSA J";"FR0013400983";"ALDSJ";"Euronext Growth Paris";"EUR";"0.0048";"0.005";"0.0047";"0.0048";"22/03/2019 17:35";"CET";"16155";"78.33"
"DELTA DRONE BSA Y";"FR0013400991";"ALDBY";"Euronext Growth Paris";"EUR";"0.0116";"0.0116";"0.0116";"0.0116";"20/03/2019 16:35";"CET";"1000";"11.60"
"DELTA PLUS GROUP";"FR0013283108";"DLTA";"Euronext Paris";"EUR";"36.00";"36.00";"35.80";"35.80";"22/03/2019 17:35";"CET";"42";"1511.40"
"DERICHEBOURG";"FR0000053381";"DBG";"Euronext Paris";"EUR";"3.82";"3.822";"3.636";"3.656";"22/03/2019 17:35";"CET";"492843";"1823754.06"
"DESIGN YOUR HOME";"SE0007045380";"MLDYH";"Euronext Access Paris";"EUR";"0.11";"0.12";"0.11";"0.12";"27/11/2018 16:44";"CET";"22581";"2588.91"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Brussels";"EUR";"15.705";"15.75";"15.67";"15.75";"22/03/2019 17:23";"CET";"959";"15079.925"
"DEVERNOIS";"FR0000060840";"ALDEV";"Euronext Growth Paris";"EUR";"67.00";"67.00";"67.00";"67.00";"21/12/2018 16:30";"CET";"30";"2010.00"
"DEVOTEAM";"FR0000073793";"DVT";"Euronext Paris";"EUR";"96.10";"98.60";"96.10";"97.00";"22/03/2019 17:35";"CET";"12627";"1224047.90"
"DEXIA";"BE0974290224";"DEXB";"Euronext Brussels";"EUR";"4.11";"4.39";"4.02";"4.11";"22/03/2019 17:35";"CET";"10341";"43007.97"
"DGB GROUP N.V.";"NL0009169515";"DGB";"Euronext Amsterdam";"EUR";"0.85";"0.85";"0.844";"0.846";"22/03/2019 17:09";"CET";"3420";"2896.726"
"DIAGEO";"GB0002374006";"DGE";"Euronext Paris";"EUR";"36.02";"36.02";"36.02";"36.02";"22/03/2019 10:21";"CET";"10";"360.20"
"DIAGEO PLC";"GB0002374006";"GUI1";"Euronext Dublin";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DIAGNOSTIC MEDICAL";"FR0012202497";"DGM";"Euronext Paris";"EUR";"1.01";"1.025";"1.005";"1.02";"22/03/2019 16:11";"CET";"5636";"5714.935"
"DIEGEM KENNEDYCERT";"BE0003698124";"DIEG";"Euronext Brussels";"EUR";"127.80";"127.80";"127.80";"127.80";"20/03/2019 11:42";"CET";"30";"3834.00"
"DIETSWELL";"FR0010377127";"ALDIE";"Euronext Growth Paris";"EUR";"1.03";"1.08";"1.02";"1.05";"22/03/2019 17:25";"CET";"87085";"91139.03"
"DIGIGRAM";"FR0000035784";"DIG";"Euronext Paris";"EUR";"0.76";"0.76";"0.76";"0.76";"21/03/2019 16:30";"CET";"700";"532.00"
"DIGITECH";"FR0000079824";"MLDIG";"Euronext Access Paris";"EUR";"1.26";"1.26";"1.26";"1.26";"29/01/2019 12:44";"CET";"920";"1159.20"
"DISTRI-LAND CERT";"BE0003605160";"DISL";"Euronext Brussels";"EUR";"150.08";"150.08";"150.08";"150.08";"13/03/2019 11:30";"CET";"4";"600.32"
"DNXCORP";"FR0010436584";"DNX";"Euronext Paris";"EUR";"4.86";"4.95";"4.81";"4.89";"22/03/2019 16:19";"CET";"11721";"57403.76"
"DOCK.PETR.AMBES AM";"FR0000065260";"DPAM";"Euronext Paris";"EUR";"484.00";"486.00";"484.00";"486.00";"22/03/2019 16:30";"CET";"11";"5342.00"
"DOLPHIN INTEGRAT.";"FR0004022754";"ALDOL";"Euronext Growth Paris";"EUR";"3.60";"3.66";"3.60";"3.66";"16/08/2018 16:48";"CET";"1344";"4918.92"
"DONEGAL INVESTMENT";"IE00BD97C178";"DQ7A";"Euronext Growth Dublin";"EUR";"9.40";"9.65";"9.40";"9.65";"15/03/2019 13:37";"UTC";"1176";"11070.65"
"DONTNOD";"FR0013331212";"ALDNE";"Euronext Growth Paris";"EUR";"17.952";"18.00";"17.90";"18.00";"22/03/2019 17:15";"CET";"669";"12028.502"
"DPA GROUP";"NL0009197771";"DPA";"Euronext Amsterdam";"EUR";"1.35";"1.35";"1.335";"1.335";"22/03/2019 16:31";"CET";"1684";"2255.655"
"DRAPER ESPRIT PLC";"GB00BY7QYJ50";"GRW";"Euronext Growth Dublin";"EUR";"6.25";"6.25";"6.25";"6.25";"05/03/2019 09:42";"UTC";"80";"500.00"
"DRONE VOLT";"FR0013088606";"ALDRV";"Euronext Growth Paris";"EUR";"0.201";"0.203";"0.199";"0.203";"22/03/2019 17:35";"CET";"193392";"38851.536"
"DRONE VOLT BS";"FR0012860542";"DRVBS";"Euronext Growth Paris";"EUR";"0.30";"0.30";"0.30";"0.30";"31/03/2017 16:00";"CET";"1500";"450.00"
"DSM KON";"NL0000009827";"DSM";"Euronext Amsterdam";"EUR";"97.80";"97.94";"95.92";"95.94";"22/03/2019 17:35";"CET";"611882";"59114452.56"
"DUTCH STAR C SHAR";"NL0012747059";"DSC1";"Euronext Amsterdam";"EUR";"9.451";"9.451";"9.451";"9.451";"19/03/2019 09:00";"CET";"1";"9.45"
"DUTCH STAR C WAR";"NL0012747067";"DSC1W";"Euronext Amsterdam";"EUR";"0.30";"0.30";"0.30";"0.30";"12/02/2019 09:35";"CET";"6000";"1800.00"
"DWC 3.0";"IT0005154635";"MLDWC";"Euronext Access Paris";"EUR";"1.25";"1.25";"1.13";"1.13";"09/05/2018 16:30";"CET";"3";"3.51"
"DYNAFOND";"FR0000052920";"MLDYN";"Euronext Access Paris";"EUR";"5.00";"5.00";"5.00";"5.00";"19/03/2019 16:30";"CET";"300";"1500.00"
"DYNEX ENERGY SA";"LU0881232630";"MLDYX";"Euronext Access Paris";"EUR";"3.14";"3.14";"3.14";"3.14";"10/12/2018 11:30";"CET";"10";"31.40"
"E.ON SE";"DE000ENAG999";"EON";"Traded not listed Brussels";"EUR";"10.02";"10.02";"10.02";"10.02";"22/03/2019 10:03";"CET";"90";"901.80"
"EASE2PAY NV";"NL0000345627";"EAS2P";"Euronext Amsterdam";"EUR";"1.49";"1.49";"1.44";"1.49";"22/03/2019 15:54";"CET";"13363";"19376.975"
"EASSON HOLDINGS";"HK0000038783";"MLEAS";"Euronext Access Paris";"EUR";"2.96";"2.96";"2.96";"2.96";"01/03/2019 16:30";"CET";"24";"71.04"
"EASYVISTA";"FR0010246322";"ALEZV";"Euronext Growth Paris";"EUR";"36.60";"37.40";"36.20";"37.40";"22/03/2019 12:59";"CET";"516";"18954.00"
"EAUX DE DOUAI";"FR0005142999";"MLEAU";"Euronext Access Paris";"EUR";"89.50";"89.50";"89.50";"89.50";"04/03/2019 11:30";"CET";"15";"1342.50"
"EAUX DE ROYAN";"FR0007200100";"MLEDR";"Euronext Access Paris";"EUR";"145.00";"145.00";"145.00";"145.00";"18/03/2019 11:32";"CET";"12";"1740.00"
"EAVS";"FR0010536185";"MLEAV";"Euronext Access Paris";"EUR";"13.95";"13.95";"13.95";"13.95";"23/07/2010 15:00";"CET";"10";"139.50"
"ECA";"FR0010099515";"ECASA";"Euronext Paris";"EUR";"19.90";"21.50";"19.50";"21.00";"22/03/2019 17:35";"CET";"17457";"360421.65"
"ECOLUTIONS";"DE000A0XYM45";"MLECO";"Euronext Access Paris";"EUR";"1.25";"1.25";"1.25";"1.25";"21/12/2016 15:00";"CET";"100";"125.00"
"ECONOCOM GROUP";"BE0974313455";"ECONB";"Euronext Brussels";"EUR";"3.576";"3.612";"3.484";"3.578";"22/03/2019 17:35";"CET";"386555";"1373819.14"
"ECOSLOPS";"FR0011490648";"ALESA";"Euronext Growth Paris";"EUR";"13.75";"13.90";"13.50";"13.50";"22/03/2019 15:05";"CET";"1471";"20139.10"
"EDENRED";"FR0010908533";"EDEN";"Euronext Paris";"EUR";"41.60";"41.62";"40.49";"40.49";"22/03/2019 17:35";"CET";"375702";"15286935.27"
"EDENRED NV19";"FR0013391950";"EDENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EDF";"FR0010242511";"EDF";"Euronext Paris";"EUR";"12.645";"12.78";"12.455";"12.47";"22/03/2019 17:35";"CET";"1896176";"23765539.91"
"EDILIZIACROBATICA";"IT0005351504";"ALEAC";"Euronext Growth Paris";"EUR";"5.001";"5.001";"5.001";"5.001";"22/03/2019 09:00";"CET";"1";"5.001"
"EDITIONS DU SIGNE";"FR0000052755";"MLEDS";"Euronext Access Paris";"EUR";"0.474";"0.474";"0.474";"0.474";"22/03/2019 11:30";"CET";"5000";"2370.00"
"EDP";"PTEDP0AM0009";"EDP";"Euronext Lisbon";"EUR";"3.433";"3.455";"3.416";"3.43";"22/03/2019 22:35";"BST";"10484235";"35990660.231"
"EDP RENOVAVEIS";"ES0127797019";"EDPR";"Euronext Lisbon";"EUR";"8.745";"8.82";"8.44";"8.54";"22/03/2019 22:35";"BST";"199440";"1716623.39"
"EDUNIVERSAL";"FR0010439265";"MLEDU";"Euronext Access Paris";"EUR";"8.42";"8.42";"8.42";"8.42";"18/04/2012 15:00";"CET";"850";"7157.00"
"EES";"FR0010945733";"MLEES";"Euronext Access Paris";"EUR";"0.20";"0.20";"0.20";"0.20";"18/03/2019 16:30";"CET";"155";"31.00"
"EGIDE";"FR0000072373";"GID";"Euronext Paris";"EUR";"1.23";"1.24";"1.18";"1.215";"22/03/2019 16:26";"CET";"25564";"30727.365"
"EIFFAGE";"FR0000130452";"FGR";"Euronext Paris";"EUR";"87.10";"87.16";"85.08";"85.08";"22/03/2019 17:35";"CET";"362172";"31008619.98"
"EKINOPS";"FR0011466069";"EKI";"Euronext Paris";"EUR";"4.335";"4.37";"4.12";"4.235";"22/03/2019 17:35";"CET";"66038";"278690.19"
"ELEC.STRASBOURG";"FR0000031023";"ELEC";"Euronext Paris";"EUR";"105.00";"105.50";"104.50";"104.50";"22/03/2019 17:35";"CET";"215";"22597.50"
"ELECT. MADAGASCAR";"FR0000035719";"EEM";"Euronext Paris";"EUR";"3.38";"3.38";"3.38";"3.38";"22/03/2019 11:30";"CET";"70";"236.60"
"ELECTRO POWER";"FR0012650166";"EPS";"Euronext Paris";"EUR";"11.10";"11.25";"10.90";"11.00";"22/03/2019 15:44";"CET";"4499";"49828.80"
"ELIA";"BE0003822393";"ELI";"Euronext Brussels";"EUR";"63.00";"63.40";"62.30";"62.30";"22/03/2019 17:35";"CET";"22490";"1407331.00"
"ELIOR GROUP";"FR0011950732";"ELIOR";"Euronext Paris";"EUR";"12.06";"12.40";"12.05";"12.31";"22/03/2019 17:37";"CET";"421871";"5179257.56"
"ELIS";"FR0012435121";"ELIS";"Euronext Paris";"EUR";"14.99";"15.11";"14.23";"14.23";"22/03/2019 17:35";"CET";"557010";"8005709.39"
"EMAKINA GROUP";"BE0003843605";"ALEMK";"Euronext Growth Brussels";"EUR";"13.90";"13.90";"13.90";"13.90";"11/03/2019 11:30";"CET";"1";"13.90"
"EMOVA BS";"FR0013245123";"ALEBS";"Euronext Growth Paris";"EUR";"0.0305";"0.0305";"0.0305";"0.0305";"24/09/2018 16:30";"CET";"37000";"1128.50"
"EMOVA GROUP";"FR0013356755";"ALEMV";"Euronext Growth Paris";"EUR";"3.08";"3.08";"2.88";"2.88";"22/03/2019 16:55";"CET";"843";"2519.24"
"ENCRES DUBUIT";"FR0004030708";"ALDUB";"Euronext Growth Paris";"EUR";"5.48";"5.48";"5.42";"5.42";"22/03/2019 14:56";"CET";"652";"3563.34"
"ENENSYS";"FR0013330792";"ALNN6";"Euronext Growth Paris";"EUR";"2.55";"2.55";"2.48";"2.48";"22/03/2019 17:35";"CET";"3209";"8037.744"
"ENERTIME";"FR0011915339";"ALENE";"Euronext Growth Paris";"EUR";"1.86";"1.885";"1.705";"1.705";"22/03/2019 17:35";"CET";"52235";"93434.78"
"ENGIE";"FR0010208488";"ENGI";"Euronext Paris, Brussels";"EUR";"13.475";"13.505";"13.20";"13.245";"22/03/2019 17:35";"CET";"8245775";"109707817.74"
"ENI";"IT0003132476";"ENI";"Traded not listed Brussels";"EUR";"15.918";"15.918";"15.918";"15.918";"21/03/2019 09:00";"CET";"273";"4345.61"
"ENTREPARTICULIERS";"FR0010424697";"ALENT";"Euronext Growth Paris";"EUR";"0.975";"1.00";"0.975";"1.00";"22/03/2019 15:55";"CET";"241";"237.695"
"ENTREPRENDRE";"FR0000045122";"ALENR";"Euronext Growth Paris";"EUR";"19.80";"19.80";"19.80";"19.80";"19/12/2018 11:30";"CET";"28";"554.40"
"ENVEA";"FR0010278762";"ALTEV";"Euronext Growth Paris";"EUR";"63.00";"63.80";"62.00";"63.20";"22/03/2019 17:35";"CET";"1799";"113141.40"
"ENVIPCO";"NL0009901610";"ENVI";"Euronext Amsterdam, Brussels";"EUR";"12.00";"12.00";"12.00";"12.00";"22/03/2019 09:00";"CET";"1";"12.00"
"EO2";"FR0010465534";"ALEO2";"Euronext Growth Paris";"EUR";"2.62";"2.63";"2.60";"2.62";"22/03/2019 17:27";"CET";"1036";"2700.12"
"EOS IMAGING";"FR0011191766";"EOSI";"Euronext Paris";"EUR";"2.085";"2.085";"1.97";"1.988";"22/03/2019 17:35";"CET";"40954";"82996.82"
"ERAMET";"FR0000131757";"ERA";"Euronext Paris";"EUR";"52.55";"52.60";"48.36";"48.68";"22/03/2019 17:36";"CET";"175602";"8670415.66"
"ERYTECH PHARMA";"FR0011471135";"ERYP";"Euronext Paris";"EUR";"7.55";"7.55";"7.095";"7.21";"22/03/2019 17:35";"CET";"56591";"409118.90"
"ESI GROUP";"FR0004110310";"ESI";"Euronext Paris";"EUR";"23.40";"23.40";"23.00";"23.20";"22/03/2019 17:35";"CET";"5802";"134562.85"
"ESKER";"FR0000035818";"ALESK";"Euronext Growth Paris";"EUR";"69.50";"69.50";"68.20";"69.50";"22/03/2019 17:35";"CET";"13646";"939079.50"
"ESPERITE";"NL0009272137";"ESP";"Euronext Amsterdam, Paris";"EUR";"0.103";"0.105";"0.102";"0.103";"22/03/2019 17:11";"CET";"170873";"17753.5866"
"ESSILOR INTER NV19";"FR0013391968";"ELNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ESSILORLUXOTTICA";"FR0000121667";"EL";"Euronext Paris";"EUR";"98.42";"99.12";"96.92";"97.96";"22/03/2019 17:35";"CET";"1124822";"109940998.80"
"ESSO";"FR0000120669";"ES";"Euronext Paris";"EUR";"34.00";"34.00";"33.30";"33.85";"22/03/2019 17:35";"CET";"1738";"58570.75"
"ESTORIL SOL N";"PTESO0AM0000";"ESON";"Euronext Lisbon";"EUR";"10.30";"10.30";"10.30";"10.30";"22/03/2019 17:03";"BST";"258";"2657.40"
"EURASIA FONC INV";"FR0000061475";"EFI";"Euronext Paris";"EUR";"0.24";"0.24";"0.24";"0.24";"13/03/2019 16:46";"CET";"18";"4.32"
"EURASIA GROUPE";"FR0010844001";"ALEUA";"Euronext Growth Paris";"EUR";"7.20";"7.20";"7.20";"7.20";"08/03/2019 11:30";"CET";"20";"144.00"
"EURAZEO";"FR0000121121";"RF";"Euronext Paris";"EUR";"68.90";"69.15";"67.15";"67.30";"22/03/2019 17:35";"CET";"88703";"5998586.35"
"EURO RESSOURCES";"FR0000054678";"EUR";"Euronext Paris";"EUR";"3.02";"3.02";"3.01";"3.01";"22/03/2019 15:04";"CET";"1092";"3286.93"
"EUROBIO-SCIENTIFIC";"FR0013240934";"ALERS";"Euronext Growth Paris";"EUR";"3.28";"3.28";"3.225";"3.225";"22/03/2019 17:09";"CET";"2036";"6593.555"
"EUROCASTLE INVEST.";"GB00B94QM994";"ECT";"Euronext Amsterdam";"EUR";"7.04";"7.06";"6.88";"7.04";"22/03/2019 17:35";"CET";"13123";"91951.50"
"EUROCOMMERCIAL";"NL0000288876";"ECMPA";"Euronext Amsterdam, Brussels";"EUR";"26.00";"26.00";"25.66";"25.66";"22/03/2019 17:35";"CET";"41890";"1077439.94"
"EUROFINS CEREP";"FR0013256518";"ALECR";"Euronext Growth Paris";"EUR";"6650.00";"6650.00";"6650.00";"6650.00";"22/03/2019 11:30";"CET";"1";"6650.00"
"EUROFINS SCIE NV19";"FR0013383189";"ERFNV";"Euronext Paris";"EUR";"358.40";"358.40";"358.40";"358.40";"20/03/2019 11:31";"CET";"303";"108595.20"
"EUROFINS SCIENT.";"FR0000038259";"ERF";"Euronext Paris";"EUR";"367.20";"370.40";"358.40";"360.00";"22/03/2019 17:35";"CET";"72937";"26301402.00"
"EUROGERM";"FR0010452474";"ALGEM";"Euronext Growth Paris";"EUR";"34.60";"34.60";"34.40";"34.40";"22/03/2019 16:13";"CET";"27";"929.00"
"EUROLAND CORPORATE";"FR0010157115";"MLERO";"Euronext Access Paris";"EUR";"0.84";"0.84";"0.84";"0.84";"14/03/2019 16:30";"CET";"500";"420.00"
"EUROMEDIS GROUPE";"FR0000075343";"EMG";"Euronext Paris";"EUR";"6.30";"6.35";"6.30";"6.35";"22/03/2019 14:20";"CET";"531";"3371.80"
"EURONAV";"BE0003816338";"EURN";"Euronext Brussels";"EUR";"7.37";"7.38";"7.16";"7.195";"22/03/2019 17:35";"CET";"475528";"3432284.47"
"EURONEXT";"NL0006294274";"ENX";"Euronext Paris, Amsterdam, Brussels";"EUR";"55.75";"56.15";"55.15";"55.50";"22/03/2019 17:36";"CET";"212575";"11836841.05"
"EURONEXT";"NL0006294274";"ENXP";"Euronext Lisbon";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EUROPACORP";"FR0010490920";"ECP";"Euronext Paris";"EUR";"1.015";"1.015";"0.992";"0.992";"22/03/2019 17:35";"CET";"60090";"60238.516"
"EUROPCAR MOBILITY";"FR0012789949";"EUCAR";"Euronext Paris";"EUR";"7.615";"7.685";"7.465";"7.49";"22/03/2019 17:35";"CET";"459624";"3458713.94"
"EUROPLASMA";"FR0000044810";"ALEUP";"Euronext Growth Paris";"EUR";"0.0415";"0.0418";"0.0403";"0.0413";"19/03/2019 17:35";"CET";"1018750";"41818.19"
"EUROPLASMA BSB";"FR0012160661";"EURBT";"Euronext Growth Paris";"EUR";"0.001";"0.001";"0.001";"0.001";"18/03/2019 13:57";"CET";"100";"0.10"
"EUROPLASMA BSC";"FR0013294089";"EURBU";"Euronext Growth Paris";"EUR";"0.0012";"0.0012";"0.0012";"0.0012";"20/03/2019 11:09";"CET";"0";"2432.6676"
"EUROPUBLIDIS";"BE0003842599";"ALPBS";"Euronext Growth Brussels";"EUR";"0.34";"0.34";"0.34";"0.34";"20/03/2019 11:30";"CET";"3004";"1021.36"
"EUTELSAT COMMUNIC.";"FR0010221234";"ETL";"Euronext Paris";"EUR";"16.655";"16.655";"16.25";"16.25";"22/03/2019 17:35";"CET";"772216";"12592470.20"
"EVADIX";"BE0003840577";"ALEVA";"Euronext Growth Brussels";"EUR";"0.15";"0.15";"0.15";"0.15";"19/03/2019 16:30";"CET";"400";"60.00"
"EVERSET";"FR0000044745";"MLEVE";"Euronext Access Paris";"EUR";"0.0005";"0.0005";"0.0005";"0.0005";"28/12/2018 16:30";"CET";"140";"0.07"
"EVOLIS";"FR0004166197";"ALTVO";"Euronext Growth Paris";"EUR";"21.60";"21.60";"21.40";"21.40";"22/03/2019 17:19";"CET";"128";"2744.40"
"EVS BROADC.EQUIPM.";"BE0003820371";"EVS";"Euronext Brussels";"EUR";"19.94";"20.05";"19.82";"20.05";"22/03/2019 17:35";"CET";"23653";"472271.13"
"EXACOMPTA CLAIREF.";"FR0000064164";"EXAC";"Euronext Paris";"EUR";"112.00";"112.00";"112.00";"112.00";"22/03/2019 16:30";"CET";"12";"1344.00"
"EXEL INDUSTRIES";"FR0004527638";"EXE";"Euronext Paris";"EUR";"66.80";"66.80";"66.00";"66.00";"22/03/2019 17:23";"CET";"386";"25644.20"
"EXMAR";"BE0003808251";"EXM";"Euronext Brussels";"EUR";"5.92";"5.99";"5.86";"5.90";"22/03/2019 17:35";"CET";"14717";"87200.22"
"EXPLOS.PROD.CHI.PF";"FR0000037343";"EPCP";"Euronext Paris";"EUR";"850.00";"850.00";"850.00";"850.00";"12/03/2019 16:44";"CET";"10";"8500.00"
"EXPLOSIFS PROD.CHI";"FR0000039026";"EXPL";"Euronext Paris";"EUR";"845.00";"845.00";"845.00";"845.00";"28/02/2019 11:30";"CET";"5";"4225.00"
"FAGRON";"BE0003874915";"FAGR";"Euronext Brussels, Amsterdam";"EUR";"15.96";"15.96";"15.61";"15.61";"22/03/2019 17:35";"CET";"107679";"1691591.99"
"FALCON OIL&GAS LTD";"CA3060711015";"FAC";"Euronext Growth Dublin";"EUR";"0.24";"0.24";"0.24";"0.24";"18/02/2019 08:22";"UTC";"500";"120.00"
"FARMINVESTE";"PTFNV1AM0002";"MLFMV";"Euronext Access Lisbon";"EUR";"4.40";"4.40";"4.40";"4.40";"20/03/2019 21:30";"BST";"120";"528.00"
"FASHION B AIR";"FR0004034593";"ALFBA";"Euronext Growth Paris";"EUR";"0.26";"0.299";"0.26";"0.299";"21/03/2019 14:46";"CET";"1468";"419.43"
"FAURECIA";"FR0000121147";"EO";"Euronext Paris";"EUR";"39.39";"39.76";"37.71";"37.71";"22/03/2019 17:37";"CET";"617734";"23606458.97"
"FAUVET GIREL";"FR0000063034";"FAUV";"Euronext Paris";"EUR";"31.80";"31.80";"31.80";"31.80";"11/03/2019 11:32";"CET";"1088";"34598.40"
"FAYENC.SARREGUEMI.";"FR0000031973";"FAYE";"Euronext Paris";"EUR";"35.00";"35.00";"35.00";"35.00";"18/03/2019 16:30";"CET";"1";"35.00"
"FBD HOLDINGS PLC";"IE0003290289";"EG7";"Euronext Dublin";"EUR";"9.50";"9.50";"9.02";"9.20";"21/03/2019 16:30";"UTC";"4836";"44182.56"
"FD";"FR0012300424";"MLFDV";"Euronext Access Paris";"EUR";"3.98";"3.98";"3.98";"3.98";"18/02/2019 16:30";"CET";"25";"99.50"
"FENALU";"PTFEN0AP0006";"FEN";"Euronext Access Lisbon";"EUR";"0.01";"0.01";"0.01";"0.01";"07/12/2018 21:30";"BST";"1000";"10.00"
"FERM.CAS.MUN.CANNE";"FR0000062101";"FCMC";"Euronext Paris";"EUR";"1540.00";"1540.00";"1540.00";"1540.00";"19/03/2019 12:04";"CET";"20";"30800.00"
"FERMENTALG";"FR0011271600";"FALG";"Euronext Paris";"EUR";"2.95";"3.05";"2.895";"2.96";"22/03/2019 17:35";"CET";"20943";"62145.225"
"FFP";"FR0000064784";"FFP";"Euronext Paris";"EUR";"96.10";"96.40";"93.30";"93.30";"22/03/2019 17:35";"CET";"6482";"613786.40"
"FIDUCIAL OFF.SOL.";"FR0000061418";"SACI";"Euronext Paris";"EUR";"28.80";"28.80";"28.80";"28.80";"22/03/2019 11:30";"CET";"1";"28.80"
"FIDUCIAL REAL EST.";"FR0000060535";"ORIA";"Euronext Paris";"EUR";"179.00";"179.00";"179.00";"179.00";"22/03/2019 11:30";"CET";"432";"77328.00"
"FIGEAC AERO";"FR0011665280";"FGA";"Euronext Paris";"EUR";"12.70";"12.70";"12.04";"12.06";"22/03/2019 17:35";"CET";"13419";"165104.84"
"FILAE";"FR0010221069";"ALFIL";"Euronext Growth Paris";"EUR";"6.25";"6.25";"6.25";"6.25";"22/03/2019 16:38";"CET";"24432";"152700.00"
"FIN.ETANG BERRE";"FR0000062341";"BERR";"Euronext Paris";"EUR";"5.45";"5.45";"5.45";"5.45";"11/03/2019 16:41";"CET";"129";"703.05"
"FIN.ETANG BERRE PF";"FR0000062507";"EBPF";"Euronext Paris";"EUR";"137.00";"137.00";"137.00";"137.00";"05/02/2019 16:30";"CET";"1";"137.00"
"FIN.OUEST AFRICAIN";"SN0000033192";"FOAF";"Euronext Paris";"EUR";"4.02";"4.02";"4.02";"4.02";"27/11/2018 11:30";"CET";"45";"180.90"
"FINANCIERE MARJOS";"FR0000060824";"FINM";"Euronext Paris";"EUR";"0.204";"0.204";"0.204";"0.204";"20/03/2019 16:30";"CET";"247";"50.38"
"FINANCIERE ODET";"FR0000062234";"ODET";"Euronext Paris";"EUR";"842.00";"848.00";"830.00";"830.00";"22/03/2019 17:29";"CET";"94";"79240.00"
"FINATIS";"FR0000035123";"FNTS";"Euronext Paris";"EUR";"42.60";"42.60";"42.60";"42.60";"22/03/2019 11:30";"CET";"80";"3408.00"
"FINAXO";"FR0010487272";"MLFXO";"Euronext Access Paris";"EUR";"4.70";"4.70";"4.70";"4.70";"25/07/2018 16:30";"CET";"1000";"4700.00"
