Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
ACST|Acasti Pharma, Inc. - Class A Common Stock|S|N|D|100|N|N
ACT|AdvisorShares Vice ETF|G|N|N|100|Y|N
ACTG|Acacia Research Corporation - Common Stock|Q|N|N|100|N|N
ACTT|Act II Global Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
ACTTU|Act II Global Acquisition Corp. - Unit|S|N|N|100|N|N
ACTTW|Act II Global Acquisition Corp. - Warrant|S|N|N|100|N|N
ACWI|iShares MSCI ACWI Index Fund|G|N|N|100|Y|N
ACWX|iShares MSCI ACWI ex US Index Fund|G|N|N|100|Y|N
ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
ADBE|Adobe Inc. - Common Stock|Q|N|N|100|N|N
ADES|Advanced Emissions Solutions, Inc. - Common Stock|G|N|N|100|N|N
ADI|Analog Devices, Inc. - Common Stock|Q|N|N|100|N|N
ADIL|Adial Pharmaceuticals, Inc - Common Stock|S|N|N|100|N|N
ADILW|Adial Pharmaceuticals, Inc - Warrant|S|N|N|100|N|N
ADMA|ADMA Biologics Inc - Common Stock|G|N|N|100|N|N
ADMP|Adamis Pharmaceuticals Corporation - Common Stock|S|N|D|100|N|N
ADMS|Adamas Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
ADP|Automatic Data Processing, Inc. - Common Stock|Q|N|N|100|N|N
ADPT|Adaptive Biotechnologies Corporation - Common Stock|Q|N|N|100|N|N
ADRE|Invesco BLDRS Emerging Markets 50 ADR Index Fund|G|N|N|100|Y|N
ADRO|Aduro Biotech, Inc. - Common Stock|Q|N|N|100|N|N
ADSK|Autodesk, Inc. - Common Stock|Q|N|N|100|N|N
ADTN|ADTRAN, Inc. - Common Stock|Q|N|N|100|N|N
ADUS|Addus HomeCare Corporation - Common Stock|Q|N|N|100|N|N
ADVM|Adverum Biotechnologies, Inc. - Common Stock|G|N|N|100|N|N
ADXN|Addex Therapeutics Ltd - American Depositary Shares|S|N|N|100|N|N
ADXS|Advaxis, Inc. - Common Stock|Q|N|N|100|N|N
AEGN|Aegion Corp - Class A Common Stock|Q|N|N|100|N|N
AEHR|Aehr Test Systems - Common Stock|S|N|N|100|N|N
AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|N|N|100|N|N
AEMD|Aethlon Medical, Inc. - Common Stock|S|N|N|100|N|N
AERI|Aerie Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
AESE|Allied Esports Entertainment, Inc. - Common Stock|S|N|N|100|N|N
AEY|ADDvantage Technologies Group, Inc. - Common Stock|G|N|N|100|N|N
AEYE|AudioEye, Inc. - Common Stock|S|N|N|100|N|N
AEZS|Aeterna Zentaris Inc. - Common Stock|S|N|N|100|N|N
AFH|Atlas Financial Holdings, Inc. - Ordinary Shares|S|N|H|100|N|N
AFIN|American Finance Trust, Inc. - Class A Common Stock|Q|N|N|100|N|N
AFINP|American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock|Q|N|N|100|N|N
AFMD|Affimed N.V. - Common Stock|G|N|N|100|N|N
AFYA|Afya Limited - Class A Common Shares|Q|N|N|100|N|N
AGBA|AGBA Acquisition Limited - Ordinary Share|S|N|N|100|N|N
AGBAR|AGBA Acquisition Limited - Right|S|N|N|100|N|N
AGBAU|AGBA Acquisition Limited - Unit|S|N|N|100|N|N
AGBAW|AGBA Acquisition Limited - Warrant|S|N|N|100|N|N
AGEN|Agenus Inc. - Common Stock|S|N|N|100|N|N
AGFS|AgroFresh Solutions, Inc. - Common Stock|Q|N|N|100|N|N
AGFSW|AgroFresh Solutions, Inc. - Warrants|Q|N|N|100|N|N
AGIO|Agios Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AGLE|Aeglea BioTherapeutics, Inc. - Common Stock|G|N|N|100|N|N
AGMH|AGM Group Holdings Inc. - Class A Ordinary Shares|S|N|D|100|N|N
AGNC|AGNC Investment Corp. - Common Stock|Q|N|N|100|N|N
AGNCM|AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCO|AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGNCP|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
AGND|WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund|G|N|N|100|Y|N
AGRX|Agile Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
AGTC|Applied Genetic Technologies Corporation - Common Stock|G|N|N|100|N|N
AGYS|Agilysys, Inc. - Common Stock|Q|N|N|100|N|N
AGZD|WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund|G|N|N|100|Y|N
AHCO|AdaptHealth Corp.  - Class A Common Stock|S|N|N|100|N|N
AHPI|Allied Healthcare Products, Inc. - Common Stock|S|N|N|100|N|N
AIA|iShares Asia 50 ETF|G|N|N|100|Y|N
AIH|Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares|G|N|N|100|N|N
AIHS|Senmiao Technology Limited - Common Stock|S|N|D|100|N|N
AIMC|Altra Industrial Motion Corp. - Common Stock|Q|N|N|100|N|N
AIMT|Aimmune Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
AINV|Apollo Investment Corporation - Closed End Fund|Q|N|N|100|N|N
AIQ|Global X Future Analytics Tech ETF|G|N|N|100|Y|N
AIRG|Airgain, Inc. - Common Stock|S|N|N|100|N|N
AIRR|First Trust RBA American Industrial Renaissance ETF|G|N|N|100|Y|N
AIRT|Air T, Inc. - Common Stock|G|N|N|100|N|N
AIRTP|Air T, Inc. - Trust Preferred Securities|G|N|N|100|N|N
AIRTW|Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred|G|N|N|100|N|N
AKAM|Akamai Technologies, Inc. - Common Stock|Q|N|N|100|N|N
AKBA|Akebia Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
AKCA|Akcea Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
AKER|Akers Biosciences Inc. - Common Stock|S|N|N|100|N|N
AKRO|Akero Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
AKRX|Akorn, Inc. - Common Stock|Q|N|N|100|N|N
AKTS|Akoustis Technologies, Inc. - Common Stock|S|N|N|100|N|N
AKTX|Akari Therapeutics Plc - American Depositary Shares|S|N|N|100|N|N
ALAC|Alberton Acquisition Corporation - Ordinary Shares|S|N|N|100|N|N
ALACR|Alberton Acquisition Corporation - Rights|S|N|N|100|N|N
ALACU|Alberton Acquisition Corporation - Unit|S|N|N|100|N|N
ALACW|Alberton Acquisition Corporation - Warrant|S|N|N|100|N|N
ALBO|Albireo Pharma, Inc. - Common Stock|S|N|N|100|N|N
ALCO|Alico, Inc. - Common Stock|Q|N|N|100|N|N
ALDX|Aldeyra Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
ALEC|Alector, Inc. - Common Stock|Q|N|N|100|N|N
ALGN|Align Technology, Inc. - Common Stock|Q|N|N|100|N|N
ALGR|Allegro Merger Corp. - Common Stock|S|N|D|100|N|N
ALGRR|Allegro Merger Corp. - Right|S|N|D|100|N|N
ALGRU|Allegro Merger Corp. - Unit|S|N|D|100|N|N
ALGRW|Allegro Merger Corp. - Warrant|S|N|D|100|N|N
ALGT|Allegiant Travel Company - Common Stock|Q|N|N|100|N|N
ALIM|Alimera Sciences, Inc. - Common Stock|G|N|N|100|N|N
ALJJ|ALJ Regional Holdings, Inc. - Common Stock|G|N|N|100|N|N
ALKS|Alkermes plc - Ordinary Shares|Q|N|N|100|N|N
ALLK|Allakos Inc. - Common Stock|Q|N|N|100|N|N
ALLO|Allogene Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ALLT|Allot Ltd. - Ordinary Shares|Q|N|N|100|N|N
ALNA|Allena Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ALNY|Alnylam Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ALOT|AstroNova, Inc. - Common Stock|G|N|N|100|N|N
ALPN|Alpine Immune Sciences, Inc. - Common Stock|G|N|N|100|N|N
ALRM|Alarm.com Holdings, Inc. - Common Stock|Q|N|N|100|N|N
ALRN|Aileron Therapeutics, Inc. - Common Stock|S|N|D|100|N|N
ALRS|Alerus Financial Corporation - Common Stock|S|N|N|100|N|N
ALSK|Alaska Communications Systems Group, Inc. - Common Stock|Q|N|N|100|N|N
ALT|Altimmune, Inc. - Common Stock|G|N|N|100|N|N
ALTM|Altus Midstream Company - Class A Common Stock|G|N|N|100|N|N
ALTR|Altair Engineering Inc. - Class A Common Stock|Q|N|N|100|N|N
ALTY|Global X SuperDividend Alternatives ETF|G|N|N|100|Y|N
ALXN|Alexion Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ALYA|Alithya Group inc. - Class A subordinate voting shares|S|N|N|100|N|N
AMAG|AMAG Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AMAL|Amalgamated Bank - Class A Common Stock|G|N|N|100|N|N
AMAT|Applied Materials, Inc. - Common Stock|Q|N|N|100|N|N
AMBA|Ambarella, Inc. - Ordinary Shares|Q|N|N|100|N|N
AMCA|iShares Russell 1000 Pure U.S. Revenue ETF|G|N|N|100|Y|N
AMCI|AMCI Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
AMCIU|AMCI Acquisition Corp. - Unit|S|N|N|100|N|N
AMCIW|AMCI Acquisition Corp. - Warrant|S|N|N|100|N|N
AMCX|AMC Networks Inc. - Class A Common Stock|Q|N|N|100|N|N
AMD|Advanced Micro Devices, Inc. - Common Stock|Q|N|N|100|N|N
AMED|Amedisys Inc - Common Stock|Q|N|N|100|N|N
AMEH|Apollo Medical Holdings, Inc. - Common Stock|S|N|N|100|N|N
AMGN|Amgen Inc. - Common Stock|Q|N|N|100|N|N
AMHC|Amplitude Healthcare Acquisition Corporation - Class A Common Stock|S|N|N|100|N|N
AMHCU|Amplitude Healthcare Acquisition Corporation - Unit|S|N|N|100|N|N
AMHCW|Amplitude Healthcare Acquisition Corporation - Warrant|S|N|N|100|N|N
AMKR|Amkor Technology, Inc. - Common Stock|Q|N|N|100|N|N
AMNB|American National Bankshares, Inc. - Common Stock|Q|N|N|100|N|N
AMOT|Allied Motion Technologies, Inc. - Common Stock|G|N|N|100|N|N
AMPH|Amphastar Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AMRB|American River Bankshares - Common Stock|Q|N|N|100|N|N
AMRH|Ameri Holdings, Inc. - Common Stock|S|N|N|100|N|N
AMRHW|Ameri Holdings, Inc. - Warrant|S|N|N|100|N|N
AMRK|A-Mark Precious Metals, Inc. - Common Stock|Q|N|N|100|N|N
AMRN|Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share|G|N|N|100|N|N
AMRS|Amyris, Inc. - Common Stock|Q|N|N|100|N|N
AMSC|American Superconductor Corporation - Common Stock|Q|N|N|100|N|N
AMSF|AMERISAFE, Inc. - Common Stock|Q|N|N|100|N|N
AMSWA|American Software, Inc. - Class A Common Stock|Q|N|N|100|N|N
AMTB|Amerant Bancorp Inc. - Class A Common Stock|Q|N|N|100|N|N
AMTBB|Amerant Bancorp Inc. - Class B Common Stock|Q|N|N|100|N|N
AMTD|TD Ameritrade Holding Corporation - Common Stock|Q|N|N|100|N|N
AMTX|Aemetis, Inc - Common Stock|G|N|D|100|N|N
AMWD|American Woodmark Corporation - Common Stock|Q|N|N|100|N|N
AMZN|Amazon.com, Inc. - Common Stock|Q|N|N|100|N|N
ANAB|AnaptysBio, Inc. - Common Stock|Q|N|N|100|N|N
ANAT|American National Insurance Company - Common Stock|Q|N|N|100|N|N
ANCN|Anchiano Therapeutics Ltd. - American Depositary Shares|S|N|N|100|N|N
ANDA|Andina Acquisition Corp. III - Ordinary Shares|S|N|N|100|N|N
ANDAR|Andina Acquisition Corp. III - Right|S|N|N|100|N|N
ANDAU|Andina Acquisition Corp. III - Unit|S|N|N|100|N|N
ANDAW|Andina Acquisition Corp. III - Warrant|S|N|N|100|N|N
ANDE|The Andersons, Inc. - Common Stock|Q|N|N|100|N|N
ANGI|ANGI Homeservices Inc. - Class A Common Stock|Q|N|N|100|N|N
ANGL|VanEck Vectors Fallen Angel High Yield Bond ETF|G|N|N|100|Y|N
ANGO|AngioDynamics, Inc. - Common Stock|Q|N|N|100|N|N
ANIK|Anika Therapeutics Inc. - Common Stock|Q|N|N|100|N|N
ANIP|ANI Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
ANIX|Anixa Biosciences, Inc. - Common Stock|S|N|N|100|N|N
ANPC|AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares|G|N|N|100|N|N
ANSS|ANSYS, Inc. - Common Stock|Q|N|N|100|N|N
ANTE|AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares|S|N|N|100|N|N
ANY|Sphere 3D Corp. - Common Shares|S|N|D|100|N|N
AOBC|American Outdoor Brands Corporation - Common Stock|Q|N|N|100|N|N
AOSL|Alpha and Omega Semiconductor Limited - Common Shares|Q|N|N|100|N|N
APDN|Applied DNA Sciences, Inc. - Common Stock|S|N|N|100|N|N
APEI|American Public Education, Inc. - Common Stock|Q|N|N|100|N|N
APEN|Apollo Endosurgery, Inc. - Common Stock|G|N|N|100|N|N
APEX|Apex Global Brands Inc. - Common Stock|S|N|D|100|N|N
APLS|Apellis Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
APLT|Applied Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
APM|Aptorum Group Limited - Class A Ordinary Shares|G|N|N|100|N|N
APOG|Apogee Enterprises, Inc. - Common Stock|Q|N|N|100|N|N
APOP|Cellect Biotechnology Ltd. - American Depositary Shares|S|N|N|100|N|N
APOPW|Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS)|S|N|N|100|N|N
APPF|AppFolio, Inc. - Class A Common Stock|G|N|N|100|N|N
APPN|Appian Corporation - Class A Common Stock|G|N|N|100|N|N
APPS|Digital Turbine, Inc. - Common Stock|S|N|N|100|N|N
APRE|Aprea Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
APTO|Aptose Biosciences, Inc. - Common Shares|S|N|N|100|N|N
APTX|Aptinyx Inc. - Common Stock|Q|N|N|100|N|N
APVO|Aptevo Therapeutics Inc. - Common Stock|S|N|D|100|N|N
APWC|Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share|G|N|D|100|N|N
APXT|Apex Technology Acquisition Corporation - Class A Common Stock|S|N|N|100|N|N
APXTU|Apex Technology Acquisition Corporation - Unit|S|N|N|100|N|N
APXTW|Apex Technology Acquisition Corporation - Warrant|S|N|N|100|N|N
APYX|Apyx Medical Corporation - Common Stock|Q|N|N|100|N|N
AQB|AquaBounty Technologies, Inc. - Common Stock|S|N|N|100|N|N
AQMS|Aqua Metals, Inc. - Common Stock|S|N|D|100|N|N
AQST|Aquestive Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
ARAV|Aravive, Inc. - Common Stock|Q|N|N|100|N|N
ARAY|Accuray Incorporated - Common Stock|Q|N|N|100|N|N
ARCB|ArcBest Corporation - Common Stock|Q|N|N|100|N|N
ARCC|Ares Capital Corporation - Closed End Fund|Q|N|N|100|N|N
ARCE|Arco Platform Limited - Class A Common Shares|Q|N|N|100|N|N
ARCT|Arcturus Therapeutics Holdings Inc. - Common Stock|G|N|N|100|N|N
ARDS|Aridis Pharmaceuticals Inc. - Common Stock|S|N|N|100|N|N
ARDX|Ardelyx, Inc. - Common Stock|G|N|N|100|N|N
AREC|American Resources Corporation - Class A Common Stock|S|N|D|100|N|N
ARGX|argenx SE - American Depositary Shares|Q|N|N|100|N|N
ARKR|Ark Restaurants Corp. - Common Stock|G|N|N|100|N|N
ARLP|Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests|Q|N|N|100|N|N
ARNA|Arena Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
AROW|Arrow Financial Corporation - Common Stock|Q|N|N|100|N|N
ARPO|Aerpio Pharmaceuticals, Inc. - Common Stock|S|N|D|100|N|N
ARQT|Arcutis Biotherapeutics, Inc. - Common stock|Q|N|N|100|N|N
ARTL|Artelo Biosciences, Inc. - Common Stock|S|N|N|100|N|N
ARTLW|Artelo Biosciences, Inc. - Warrant|S|N|N|100|N|N
ARTNA|Artesian Resources Corporation - Class A Non-Voting Common Stock|Q|N|N|100|N|N
ARTW|Art's-Way Manufacturing Co., Inc. - Common Stock|S|N|N|100|N|N
ARVN|Arvinas, Inc. - Common Stock|Q|N|N|100|N|N
ARWR|Arrowhead Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ARYA|ARYA Sciences Acquisition Corp. - Class A Ordinary Shares|S|N|D|100|N|N
ARYAU|ARYA Sciences Acquisition Corp. - Unit|S|N|D|100|N|N
ARYAW|ARYA Sciences Acquisition Corp. - Warrant|S|N|D|100|N|N
ASET|FlexShares Real Assets Allocation Index Fund|G|N|N|100|Y|N
ASFI|Asta Funding, Inc. - Common Stock|Q|N|N|100|N|N
ASLN|ASLAN Pharmaceuticals Limited - American Depositary Shares|G|N|N|100|N|N
ASMB|Assembly Biosciences, Inc. - Common Stock|Q|N|N|100|N|N
ASML|ASML Holding N.V. - New York Registry Shares|Q|N|N|100|N|N
ASNA|Ascena Retail Group, Inc. - Common Stock|Q|N|N|100|N|N
ASND|Ascendis Pharma A/S - American Depositary Shares|Q|N|N|100|N|N
ASPS|Altisource Portfolio Solutions S.A. - Common Stock|Q|N|N|100|N|N
ASPU|Aspen Group Inc. - Common Stock|G|N|N|100|N|N
ASRT|Assertio Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ASRV|AmeriServ Financial Inc. - Common Stock|G|N|N|100|N|N
ASRVP|AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A|G|N|N|100|N|N
ASTC|Astrotech Corporation - Common Stock|S|N|D|100|N|N
ASTE|Astec Industries, Inc. - Common Stock|Q|N|N|100|N|N
ASUR|Asure Software Inc - Common Stock|S|N|N|100|N|N
ASYS|Amtech Systems, Inc. - Common Stock|Q|N|N|100|N|N
ATAX|America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests|Q|N|N|100|N|N
ATCX|Atlas Technical Consultants, Inc. - Class A Common Stock|G|N|N|100|N|N
ATCXW|Atlas Technical Consultants, Inc. - Warrant|G|N|N|100|N|N
ATEC|Alphatec Holdings, Inc. - Common Stock|Q|N|N|100|N|N
ATEX|Anterix Inc. - Common Stock|S|N|N|100|N|N
ATHE|Alterity Therapeutics Limited - American Depositary Shares|S|N|D|100|N|N
ATHX|Athersys, Inc. - Common Stock|S|N|N|100|N|N
ATIF|ATIF Holdings Limited - Ordinary Shares|S|N|N|100|N|N
ATLC|Atlanticus Holdings Corporation - Common Stock|Q|N|N|100|N|N
ATLO|Ames National Corporation - Common Stock|S|N|N|100|N|N
ATNI|ATN International, Inc. - Common Stock|Q|N|N|100|N|N
ATNX|Athenex, Inc. - Common Stock|Q|N|N|100|N|N
ATOM|Atomera Incorporated - Common Stock|S|N|N|100|N|N
ATOS|Atossa Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
ATRA|Atara Biotherapeutics, Inc. - Common Stock|Q|N|N|100|N|N
ATRC|AtriCure, Inc. - Common Stock|G|N|N|100|N|N
ATRI|Atrion Corporation - Common Stock|Q|N|N|100|N|N
ATRO|Astronics Corporation - Common Stock|Q|N|N|100|N|N
ATRS|Antares Pharma, Inc. - Common Stock|S|N|N|100|N|N
ATSG|Air Transport Services Group, Inc - Common Stock|Q|N|N|100|N|N
ATVI|Activision Blizzard, Inc - Common Stock|Q|N|N|100|N|N
ATXI|Avenue Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
AUB|Atlantic Union Bankshares Corporation - Common Stock|Q|N|N|100|N|N
AUBN|Auburn National Bancorporation, Inc. - Common Stock|G|N|N|100|N|N
AUDC|AudioCodes Ltd. - Ordinary Shares|Q|N|N|100|N|N
AUPH|Aurinia Pharmaceuticals Inc - Common Shares|G|N|N|100|N|N
AUTL|Autolus Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
AUTO|AutoWeb, Inc. - Common Stock|S|N|N|100|N|N
AVAV|AeroVironment, Inc. - Common Stock|Q|N|N|100|N|N
AVCO|Avalon GloboCare Corp. - Common Stock|S|N|N|100|N|N
AVDL|Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share|G|N|N|100|N|N
AVEO|AVEO Pharmaceuticals, Inc. - Common Stock|S|N|N|100|N|N
AVGO|Broadcom Inc. - Common Stock|Q|N|N|100|N|N
AVGOP|Broadcom Inc. - 8.00% Mandatory Convertible Preferred Stock, Series A|Q|N|N|100|N|N
AVGR|Avinger, Inc. - Common Stock|S|N|N|100|N|N
AVID|Avid Technology, Inc. - Common Stock|Q|N|N|100|N|N
AVNW|Aviat Networks, Inc. - Common Stock|Q|N|N|100|N|N
AVRO|AVROBIO, Inc. - Common Stock|Q|N|N|100|N|N
AVT|Avnet, Inc. - Common Stock|Q|N|N|100|N|N
AVXL|Anavex Life Sciences Corp. - Common Stock|S|N|N|100|N|N
AWRE|Aware, Inc. - Common Stock|G|N|N|100|N|N
AXAS|Abraxas Petroleum Corporation - Common Stock|S|N|D|100|N|N
AXDX|Accelerate Diagnostics, Inc. - Common Stock|S|N|N|100|N|N
AXGN|Axogen, Inc. - Common Stock|S|N|N|100|N|N
AXGT|Axovant Gene Therapies Ltd. - Common Shares|Q|N|N|100|N|N
AXLA|Axcella Health Inc. - Common Stock|G|N|N|100|N|N
AXNX|Axonics Modulation Technologies, Inc. - Common Stock|Q|N|N|100|N|N
AXSM|Axsome Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
AXTI|AXT Inc - Common Stock|Q|N|N|100|N|N
AY|Atlantica Yield plc - Ordinary Shares|Q|N|N|100|N|N
AYTU|Aytu BioScience, Inc. - Common Stock|S|N|D|100|N|N
AZPN|Aspen Technology, Inc. - Common Stock|Q|N|N|100|N|N
AZRX|AzurRx BioPharma, Inc. - Common Stock|S|N|N|100|N|N
BAND|Bandwidth Inc. - Class A Common Stock|Q|N|N|100|N|N
BANF|BancFirst Corporation - Common Stock|Q|N|N|100|N|N
BANFP|BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities|Q|N|N|100|N|N
BANR|Banner Corporation - Common Stock|Q|N|N|100|N|N
BANX|StoneCastle Financial Corp - Common Stock|Q|N|N|100|N|N
BASI|Bioanalytical Systems, Inc. - Common Stock|S|N|N|100|N|N
BATRA|Liberty Media Corporation - Series A Liberty Braves Common Stock|Q|N|N|100|N|N
BATRK|Liberty Media Corporation - Series C Liberty Braves Common Stock|Q|N|N|100|N|N
BBBY|Bed Bath & Beyond Inc. - Common Stock|Q|N|N|100|N|N
BBCP|Concrete Pumping Holdings, Inc.  - Common Stock|S|N|N|100|N|N
BBGI|Beasley Broadcast Group, Inc. - Class A Common Stock|G|N|N|100|N|N
BBH|VanEck Vectors Biotech ETF|G|N|N|100|Y|N
BBI|Brickell Biotech, Inc. - Common Stock|S|N|N|100|N|N
BBIO|BridgeBio Pharma, Inc. - Common Stock|Q|N|N|100|N|N
BBQ|BBQ Holdings, Inc.  - Common Stock|Q|N|N|100|N|N
BBSI|Barrett Business Services, Inc. - Common Stock|Q|N|N|100|N|N
BCBP|BCB Bancorp, Inc. (NJ) - Common Stock|G|N|N|100|N|N
BCDA|BioCardia, Inc. - Common Stock|S|N|N|100|N|N
BCDAW|BioCardia, Inc. - Warrant|S|N|N|100|N|N
BCEL|Atreca, Inc. - Class A Common Stock|Q|N|N|100|N|N
BCLI|Brainstorm Cell Therapeutics Inc. - Common Stock|S|N|N|100|N|N
BCML|BayCom Corp - Common Stock|Q|N|N|100|N|N
BCOM|B Communications Ltd. - Ordinary Shares|Q|N|N|100|N|N
BCOR|Blucora, Inc. - Common Stock|Q|N|N|100|N|N
BCOV|Brightcove Inc. - Common Stock|Q|N|N|100|N|N
BCOW|1895 Bancorp of Wisconsin, Inc. - Common Stock|S|N|N|100|N|N
BCPC|Balchem Corporation - Common Stock|Q|N|N|100|N|N
BCRX|BioCryst Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
